CIOCenterDiv,Center,Division,Branch,Total,Not Impacted,Admin Leave,Reinstated,Separated,Unclear
CDC\NCCDPHP\DDT\PIB,National Center for Chronic Disease Prevention and Health Promotion,Division of Diabetes Translation,Program Implementation Branch,23,23,,,,
CDC\NCCDPHP\DDT\SEESB,National Center for Chronic Disease Prevention and Health Promotion,Division of Diabetes Translation,"Surveillance, Epidemiology, Economics, and Statistics Branch",23,23,,,,
CDC\NCCDPHP\DDT\THEEB,National Center for Chronic Disease Prevention and Health Promotion,Division of Diabetes Translation,"Translation, Health Education, and Evaluation Branch",22,22,,,,
CDC\NCCDPHP\DHDSP\AREB,National Center for Chronic Disease Prevention and Health Promotion,Division of Heart Disease and Stroke Prevention,Applied Research and Evaluation Branch,21,21,,,,
CDC\NCCDPHP\DHDSP\ESB,National Center for Chronic Disease Prevention and Health Promotion,Division of Heart Disease and Stroke Prevention,Epi and Surveillance Branch,24,24,,,,
CDC\NCCDPHP\DHDSP\OD,National Center for Chronic Disease Prevention and Health Promotion,Division of Heart Disease and Stroke Prevention,Office of the Director,26,26,,,,
CDC\NCCDPHP\DHDSP\PDSB,National Center for Chronic Disease Prevention and Health Promotion,Division of Heart Disease and Stroke Prevention,Program Development and Services Branch,20,20,,,,
CDC\NCCDPHP\DNPAO\NB,National Center for Chronic Disease Prevention and Health Promotion,"Division of Nutrition, Physical Activity, and Obesity",Nutrition Branch,16,16,,,,
CDC\NCCDPHP\DNPAO\OD,National Center for Chronic Disease Prevention and Health Promotion,"Division of Nutrition, Physical Activity, and Obesity",Office of the Director,34,34,,,,
CDC\NCCDPHP\DNPAO\OPCB,National Center for Chronic Disease Prevention and Health Promotion,"Division of Nutrition, Physical Activity, and Obesity",Obesity Prevention and Control Branch,19,19,,,,
CDC\NCCDPHP\DNPAO\PAHB,National Center for Chronic Disease Prevention and Health Promotion,"Division of Nutrition, Physical Activity, and Obesity",Physical Activity and Health Branch,14,14,,,,
CDC\NCCDPHP\DNPAO\PDEB,National Center for Chronic Disease Prevention and Health Promotion,"Division of Nutrition, Physical Activity, and Obesity",Program Development and Evaluation Branch,29,29,,,,
CDC\NCCDPHP\DOH\OD,National Center for Chronic Disease Prevention and Health Promotion,Division of Oral Health,Office of the Director,20,,,,20,
CDC\NCCDPHP\DPH,National Center for Chronic Disease Prevention and Health Promotion,Division of Population Health,Office of the Director,1,,,,1,
CDC\NCCDPHP\DPH\ESB,National Center for Chronic Disease Prevention and Health Promotion,Division of Population Health,Epidemiology and Surveillance Branch,19,,,,19,
CDC\NCCDPHP\DPH\HAB,National Center for Chronic Disease Prevention and Health Promotion,Division of Population Health,Healthy Aging Branch,20,,,,20,
CDC\NCCDPHP\DPH\OD,National Center for Chronic Disease Prevention and Health Promotion,Division of Population Health,Office of the Director,31,,,,31,
CDC\NCCDPHP\DPH\PHSB,National Center for Chronic Disease Prevention and Health Promotion,Division of Population Health,Population Health Surveillance Branch,14,14,,,,
CDC\NCCDPHP\DPH\PRTB,National Center for Chronic Disease Prevention and Health Promotion,Division of Population Health,Prevention Research and Translation Branch,17,,,,17,
CDC\NCCDPHP\DRH\FSB,National Center for Chronic Disease Prevention and Health Promotion,Division of Reproductive Health,Field Services Branch,23,,23,,,
CDC\NCCDPHP\DRH\MIHB,National Center for Chronic Disease Prevention and Health Promotion,Division of Reproductive Health,Maternal and Infant Health Branch,40,40,,,,
CDC\NCCDPHP\DRH\OD,National Center for Chronic Disease Prevention and Health Promotion,Division of Reproductive Health,Office of the Director,22,,22,,,
CDC\NCCDPHP\DRH\WHFB,National Center for Chronic Disease Prevention and Health Promotion,Division of Reproductive Health,Women's Health and Fertility Branch,40,,40,,,
CDC\NCCDPHP\OD,National Center for Chronic Disease Prevention and Health Promotion,Office of the Director,,34,,,34,,
CDC\NCCDPHP\OD\OAS,National Center for Chronic Disease Prevention and Health Promotion,Office of the Director,Office of Administrative Services,6,6,,,,
CDC\NCCDPHP\OD\OC,National Center for Chronic Disease Prevention and Health Promotion,Office of the Director,Office of Communications,19,,,19,,
CDC\NCCDPHP\OD\OIIRM,National Center for Chronic Disease Prevention and Health Promotion,Office of the Director,Office of Informatics and Information Resources Management,12,,,12,,
CDC\NCCDPHP\OD\OMS,National Center for Chronic Disease Prevention and Health Promotion,Office of the Director,Office of Medicine and Science,22,,,22,,
CDC\NCCDPHP\OD\OPHP,National Center for Chronic Disease Prevention and Health Promotion,Office of the Director,Office of Public Health Practice,6,,,,6,
CDC\NCCDPHP\OD\OPPP,National Center for Chronic Disease Prevention and Health Promotion,Office of the Director,"Office of Policy, Planning and Partnerships",8,,,8,,
CDC\NCCDPHP\OSH,National Center for Chronic Disease Prevention and Health Promotion,Office on Smoking and Health,Office of the Director,1,,1,,,
CDC\NCCDPHP\OSH\EB,National Center for Chronic Disease Prevention and Health Promotion,Office on Smoking and Health,Epidemiology Branch,22,,22,,,
CDC\NCCDPHP\OSH\GTCB,National Center for Chronic Disease Prevention and Health Promotion,Office on Smoking and Health,Global Tobacco Control Branch,9,,9,,,
CDC\NCCDPHP\OSH\HCB,National Center for Chronic Disease Prevention and Health Promotion,Office on Smoking and Health,Health Communications Branch,23,,23,,,
CDC\NCCDPHP\OSH\OD,National Center for Chronic Disease Prevention and Health Promotion,Office on Smoking and Health,Office of the Director,35,,35,,,
CDC\NCCDPHP\OSH\PSB,National Center for Chronic Disease Prevention and Health Promotion,Office on Smoking and Health,Program Services Branch,20,,20,,,
CDC\NCEH\DEHSP\AAQB,National Center for Environmental Health,Division of Environmental Health Science and Practice,Asthma and Air Quality Branch,18,,,18,,
