CIOCenterDiv,Center,Division,Branch,Total,Not Impacted,Admin Leave,Reinstated,Separated,Unclear
CDC\OD\OCOO\OFR\OGS\RPMSB,Office of Financial Resources,Office of Grant Services,Risk and Performance Management Services Branch,21,,,21,,
CDC\OD\OCOO\OHR\AOMO,Office of Human Resources,Administrative and Operations Management Office,Administrative and Operations Management Office,23,23,,,,
CDC\OD\OCOO\OHR\BESO\CLAA,Office of Human Resources,Benefits and Employee Services Office,Compensation and Leave Administration Activity,6,6,,,,
CDC\OD\OCOO\OHR\BESO\OD,Office of Human Resources,Benefits and Employee Services Office,Office of the Director,3,3,,,,
CDC\OD\OCOO\OHR\BESO\RBA,Office of Human Resources,Benefits and Employee Services Office,Retirements and Benefits Activity,7,7,,,,
CDC\OD\OCOO\OHR\CCLO,Office of Human Resources,Commissioned Corps Liaison Office,,8,,,8,,
CDC\OD\OCOO\OHR\CDCUO\DADE,Office of Human Resources,CDC University Office,"Developmental Assessment, Design and Evaluation Activity",2,,,,2,
CDC\OD\OCOO\OHR\CDCUO\OD,Office of Human Resources,CDC University Office,Office of the Director,5,,,5,,
CDC\OD\OCOO\OHR\CDCUO\PDA,Office of Human Resources,CDC University Office,Program Development Activity,5,,,,5,
CDC\OD\OCOO\OHR\CDCUO\TAA,Office of Human Resources,CDC University Office,Training Administration Activity,6,,,,6,
CDC\OD\OCOO\OHR\CDCUO\TDA,Office of Human Resources,CDC University Office,Training Delivery Activity,6,,,6,,
CDC\OD\OCOO\OHR\CSO\CAA,Office of Human Resources,Client Services Office,Classification and Advisory Activity,9,,,9,,
CDC\OD\OCOO\OHR\CSO\CSA1,Office of Human Resources,Client Services Office,Customer Staffing Activity 1,10,,,10,,
CDC\OD\OCOO\OHR\CSO\CSA2,Office of Human Resources,Client Services Office,Customer Staffing Activity 2,12,,,12,,
CDC\OD\OCOO\OHR\CSO\CSA4,Office of Human Resources,Client Services Office,Customer Staffing Activity 4,6,,,6,,
CDC\OD\OCOO\OHR\CSO\HPQRA,Office of Human Resources,Client Services Office,Hiring Policy and Quality Review Activity,10,,,,,10
CDC\OD\OCOO\OHR\CSO\OD,Office of Human Resources,Client Services Office,Office of the Director,6,,,6,,
CDC\OD\OCOO\OHR\CSO\TSA,Office of Human Resources,Client Services Office,Technical Services Activity,35,,,35,,
CDC\OD\OCOO\OHR\DATO,Office of Human Resources,"Data, Analytics, and Technology Office",Office of the Director,9,,,9,,
CDC\OD\OCOO\OHR\EIMO\ca,Office of Human Resources,Enterprise and Integration Tiers Management Office,Communication Activity,3,,,,3,
CDC\OD\OCOO\OHR\EIMO\od,Office of Human Resources,Enterprise and Integration Tiers Management Office,Office of the Director,3,,,3,,
CDC\OD\OCOO\OHR\EIMO\TMA,Office of Human Resources,Enterprise and Integration Tiers Management Office,Tiers Management Activity,6,,,,6,
CDC\OD\OCOO\OHR\EIO,Office of Human Resources,Ethics and Integrity Office,Office of the Director,12,,,12,,
CDC\OD\OCOO\OHR\ESRO,Office of Human Resources,Executive and Scientific Resources Office,Office of the Director,3,,,3,,
CDC\OD\OCOO\OHR\ESRO\ECPA,Office of Human Resources,Executive and Scientific Resources Office,Executive Compensation and Performance Activity,5,,,,5,
CDC\OD\OCOO\OHR\ESRO\ESSA,Office of Human Resources,Executive and Scientific Resources Office,Executive and Scientific Staffing Activity,10,,,,10,
CDC\OD\OCOO\OHR\ESRO\IA,Office of Human Resources,Executive and Scientific Resources Office,Immigration Activity,4,,,,4,
CDC\OD\OCOO\OHR\HCWSO,Office of Human Resources,Human Capital Workforce Solutions Office,Office of the Director,1,,,,1,
CDC\OD\OCOO\OHR\HCWSO\HCSA,Office of Human Resources,Human Capital Workforce Solutions Office,Human Capital Strategy Activity,1,,,1,,
CDC\OD\OCOO\OHR\HCWSO\HRSPA,Office of Human Resources,Human Capital Workforce Solutions Office,Human Resources Strategic Business Activity,17,,,17,,
CDC\OD\OCOO\OHR\HCWSO\OD,Office of Human Resources,Human Capital Workforce Solutions Office,Office of the Director,1,,,1,,
CDC\OD\OCOO\OHR\OD,Office of Human Resources,Office of the Director,Office of the Director,17,,,17,,
CDC\OD\OCOO\OHR\OD\CRPA,Office of Human Resources,Office of the Director,Career Ready Program Activity,35,,,35,,
CDC\OD\OCOO\OHR\OD\IOP,Office of Human Resources,Office of the Director,In and Out Processing Activity,12,,,,12,
CDC\OD\OCOO\OHR\OD\TA,Office of Human Resources,Office of the Director,Transformation Activity,9,,,,9,
CDC\OD\OCOO\OHR\WRO,Office of Human Resources,Workforce Relations Office,Office of the Director,1,,,1,,
CDC\OD\OCOO\OHR\WRO\ELRA,Office of Human Resources,Workforce Relations Office,Employee and Labor Relations Activity,9,,,9,,
CDC\OD\OCOO\OHR\WRO\OD,Office of Human Resources,Workforce Relations Office,Office of the Director,5,,,5,,
CDC\OD\OCOO\OHR\WRO\PMSRRA,Office of Human Resources,Workforce Relations Office,"Performance Management, Strategic Rewards and Worklife Activity",6,,,6,,
CDC\OD\OCOO\OSBI\BISM,Office of the Chief Operating Officer,Office of Strategic Business Initiatives,Business Integrity & Strategic Management,12,,,12,,
CDC\OD\OCOO\OSBI\FACA,Office of the Chief Operating Officer,Office of Strategic Business Initiatives,Federal Advisory Committee Act Program,7,7,,,,
CDC\OD\OCOO\OSBI\MOA,Office of the Chief Operating Officer,Office of Strategic Business Initiatives,Management Operations Activity,2,2,,,,
CDC\OD\OCOO\OSBI\OD,Office of the Chief Operating Officer,Office of Strategic Business Initiatives,Office of the Director,3,3,,,,
CDC\OD\OCOO\OSBI\OMA,Office of the Chief Operating Officer,Office of Strategic Business Initiatives,Office of Management Analysis,10,10,,,,
CDC\OD\OCOO\OSBI\TCM,Office of the Chief Operating Officer,Office of Strategic Business Initiatives,Office of Transformation & Change Management,6,6,,,,
CDC\OD\OCOO\OSSAM,"Office of Safety, Security, and Asset Management",Office of the Director,,3,3,,,,
CDC\OD\OCOO\OSSAM\AMSO\DEMSO,"Office of Safety, Security, and Asset Management",Asset Management Services Office,Design Support Services Offices,9,9,,,,
CDC\OD\OCOO\OSSAM\AMSO\EMOSO,"Office of Safety, Security, and Asset Management",Asset Management Services Office,"Engineering, Maintenance, and Operations Services Office",86,86,,,,
CDC\OD\OCOO\OSSAM\AMSO\LPMS,"Office of Safety, Security, and Asset Management",Asset Management Services Office,Leased Property Management Services,6,6,,,,
CDC\OD\OCOO\OSSAM\AMSO\OD,"Office of Safety, Security, and Asset Management",Asset Management Services Office,Office of the Director,11,11,,,,
CDC\OD\OCOO\OSSAM\AMSO\PCMSO,"Office of Safety, Security, and Asset Management",Asset Management Services Office,Projects and Construction Management Services Office,23,23,,,,
CDC\OD\OCOO\OSSAM\LPMSO,"Office of Safety, Security, and Asset Management",Logistics and Property Management Services Office,,28,28,,,,
CDC\OD\OCOO\OSSAM\OD,"Office of Safety, Security, and Asset Management",Office of the Director,,72,72,,,,
CDC\OD\OCOO\OSSAM\OHC,"Office of Safety, Security, and Asset Management",Occupational Health Clinic,,18,18,,,,
CDC\OD\OCOO\OSSAM\OHSO\GSPB,"Office of Safety, Security, and Asset Management",Occupational Health and Safety Office,Global Safety and Performance Branch,10,,,10,,
CDC\OD\OCOO\OSSAM\OHSO\IHSB,"Office of Safety, Security, and Asset Management",Occupational Health and Safety Office,Industrial Hygiene and Safety Branch,11,,,11,,
CDC\OD\OCOO\OSSAM\OHSO\OD,"Office of Safety, Security, and Asset Management",Occupational Health and Safety Office,Office of the Director,6,,,6,,
CDC\OD\OCOO\OSSAM\phio,"Office of Safety, Security, and Asset Management",Public Health Intelligence Office,,28,28,,,,
CDC\OD\OCOO\OSSAM\SSO,"Office of Safety, Security, and Asset Management",Security Services Office,Office of the Director,1,1,,,,
CDC\OD\OCOO\OSSAM\SSO\OD,"Office of Safety, Security, and Asset Management",Security Services Office,Office of the Director,7,7,,,,
CDC\OD\OCOO\OSSAM\SSO\PSB,"Office of Safety, Security, and Asset Management",Security Services Office,Program Services Branch,25,25,,,,
CDC\OD\OCOO\OSSAM\SSO\PSOB,"Office of Safety, Security, and Asset Management",Security Services Office,Physical Security Operations Branch,32,32,,,,
CDC\OD\OCOO\OSSAM\WWO,"Office of Safety, Security, and Asset Management","Office of Safety, Security, and Asset Management",WorkLife Wellness Office,19,,,19,,
CDC\OD\OCS\OD,Office of the Chief of Staff,Office of the Director,,16,16,,,,
CDC\OD\OCS\OD\BOMT,Office of the Chief of Staff,Office of the Director,Budget and Operations Management Team,11,11,,,,
CDC\OD\OCS\OD\PPCT,Office of the Chief of Staff,Office of the Director,"Policy, Performance, and Coordination Team",3,3,,,,
CDC\OD\OCS\OD\SAT,Office of the Chief of Staff,Office of the Director,Scheduling and Advance Team,7,7,,,,
CDC\OD\OCS\OES,Office of the Chief of Staff,Office of the Executive Secretariat,,9,9,,,,
CDC\OD\OEEO,Office of Equal Employment Opportunity,Office of the Director,,38,,,,38,
CDC\OD\OHE\OD,Office of Health Equity,Office of the Director,,8,,,,8,
CDC\OD\OHE\OMH,Office of Health Equity,Office of Minority Health,,25,,,,25,
CDC\OD\OHE\OWH,Office of Health Equity,Office of Women's Health,,5,,,,5,
CDC\OD\OLSR\DCLSR\BCFB,Office of Laboratory Science and Safety,Division of Core Laboratory Services and Response,Biotechnology Core Facility Branch,26,26,,,,
CDC\OD\OLSR\DCLSR\CMB,Office of Laboratory Science and Safety,Division of Core Laboratory Services and Response,Comparative Medicine Branch,18,18,,,,
CDC\OD\OLSR\DCLSR\LPSB,Office of Laboratory Science and Safety,Division of Core Laboratory Services and Response,Laboratory Products And Services Branch,19,19,,,,
CDC\OD\OLSR\DCLSR\OD,Office of Laboratory Science and Safety,Division of Core Laboratory Services and Response,Office of the Director,32,32,,,,
CDC\OD\OLSR\DCLSR\PROSB,Office of Laboratory Science and Safety,Division of Core Laboratory Services and Response,Preparedness Response And Outbreak Services Branch,25,25,,,,
CDC\OD\OLSR\DLS,Office of Laboratory Science and Safety,Division of Laboratory Systems,Office of the Director,26,26,,,,
CDC\OD\OLSR\DLS\LRIB,Office of Laboratory Science and Safety,Division of Laboratory Systems,Laboratory Readiness and Informatics Branch,15,15,,,,
CDC\OD\OLSR\DLS\QSSB,Office of Laboratory Science and Safety,Division of Laboratory Systems,Quality And Safety Systems Branch,38,38,,,,
CDC\OD\OLSR\DLS\TWDB,Office of Laboratory Science and Safety,Division of Laboratory Systems,Training And Workforce Development Branch,32,32,,,,
CDC\OD\OLSR\OD,Office of Laboratory Science and Safety,Office of the Director,,25,25,,,,
CDC\OD\OLSR\OD\OLQS,Office of Laboratory Science and Safety,Office of the Director,Office Of Laboratory Quality And Safety,41,41,,,,
CDC\OD\OPHDST\DMD,"Office of Public Health Data, Surveillance, and Technology",Detect and Monitor Division,Office of the Director,1,1,,,,
CDC\OD\OPHDST\DMD\IMB,"Office of Public Health Data, Surveillance, and Technology",Detect and Monitor Division,Integrated Monitoring Branch,20,20,,,,
CDC\OD\OPHDST\DMD\OD,"Office of Public Health Data, Surveillance, and Technology",Detect and Monitor Division,Office of the Director,6,6,,,,
CDC\OD\OPHDST\DMD\PHDTB,"Office of Public Health Data, Surveillance, and Technology",Detect and Monitor Division,Public Health Data Transmission Branch,21,21,,,,
CDC\OD\OPHDST\DPSD\DPB,"Office of Public Health Data, Surveillance, and Technology",Data Policy and Standards Division,Data Policy Branch,19,19,,,,
CDC\OD\OPHDST\DPSD\DSB,"Office of Public Health Data, Surveillance, and Technology",Data Policy and Standards Division,Data Standards Branch,16,16,,,,
CDC\OD\OPHDST\DPSD\OD,"Office of Public Health Data, Surveillance, and Technology",Data Policy and Standards Division,Office of the Director,8,8,,,,
CDC\OD\OPHDST\IDD,"Office of Public Health Data, Surveillance, and Technology",Inform and Disseminate Division,Office of the Director,2,2,,,,
CDC\OD\OPHDST\IDD\ADB,"Office of Public Health Data, Surveillance, and Technology",Inform and Disseminate Division,Actionable Data Branch,17,17,,,,
CDC\OD\OPHDST\IDD\DTSB,"Office of Public Health Data, Surveillance, and Technology",Inform and Disseminate Division,Dissemination Technology And Services Branch,14,14,,,,
CDC\OD\OPHDST\IDD\OD,"Office of Public Health Data, Surveillance, and Technology",Inform and Disseminate Division,Office of the Director,4,4,,,,
CDC\OD\OPHDST\IRD,"Office of Public Health Data, Surveillance, and Technology",Investigate and Respond Division,Office of the Director,3,3,,,,
CDC\OD\OPHDST\IRD\AOTB,"Office of Public Health Data, Surveillance, and Technology",Investigate and Respond Division,Analytics And Operations Tools Branch,2,2,,,,
CDC\OD\OPHDST\IRD\od,"Office of Public Health Data, Surveillance, and Technology",Investigate and Respond Division,Office of the Director,5,5,,,,
CDC\OD\OPHDST\IRD\PHITB,"Office of Public Health Data, Surveillance, and Technology",Investigate and Respond Division,Public Health Investigation Tools Branch,5,5,,,,
CDC\OD\OPHDST\NCHS,National Center for Health Statistics,Office of the Director,,1,1,,,,
CDC\OD\OPHDST\NCHS\DAE\DLMAB,National Center for Health Statistics,Division of Analysis and Epidemiology,Data Linkage Methodology And Analysis Branch,13,13,,,,
CDC\OD\OPHDST\NCHS\DAE\HPSB,National Center for Health Statistics,Division of Analysis and Epidemiology,Health Promotion Statistics Branch,16,16,,,,
CDC\OD\OPHDST\NCHS\DAE\MREB,National Center for Health Statistics,Division of Analysis and Epidemiology,Measures Research And Evaluation Branch,8,8,,,,
CDC\OD\OPHDST\NCHS\DAE\OD,National Center for Health Statistics,Division of Analysis and Epidemiology,Office of the Director,5,5,,,,
CDC\OD\OPHDST\NCHS\DAE\PHRDB,National Center for Health Statistics,Division of Analysis and Epidemiology,Population Health Reporting And Dissemination Branch,10,10,,,,
CDC\OD\OPHDST\NCHS\DHCS\DAPB,National Center for Health Statistics,Division of Health Care Statistics,Data Analysis And Production Branch,13,13,,,,
CDC\OD\OPHDST\NCHS\DHCS\OD,National Center for Health Statistics,Division of Health Care Statistics,Office of the Director,6,6,,,,
CDC\OD\OPHDST\NCHS\DHCS\POB,National Center for Health Statistics,Division of Health Care Statistics,Planning And Operations Branch,17,,,17,,
CDC\OD\OPHDST\NCHS\DHCS\TSB,National Center for Health Statistics,Division of Health Care Statistics,Technical Services Branch,15,15,,,,
CDC\OD\OPHDST\NCHS\DHIS\DAQAB,National Center for Health Statistics,Division of Health Interview Statistics,Data Analysis and Quality Assurance Branch,13,13,,,,
CDC\OD\OPHDST\NCHS\DHIS\DPSB,National Center for Health Statistics,Division of Health Interview Statistics,Data Production And Systems Branch,12,12,,,,
CDC\OD\OPHDST\NCHS\DHIS\OD,National Center for Health Statistics,Division of Health Interview Statistics,Office of the Director,5,5,,,,
CDC\OD\OPHDST\NCHS\DHIS\SPSSB,National Center for Health Statistics,Division of Health Interview Statistics,Survey Planning And Special Surveys Branch,16,16,,,,
CDC\OD\OPHDST\NCHS\DHNES,National Center for Health Statistics,Division of Health and Nutrition Examination Surveys,Office of the Director,1,1,,,,
CDC\OD\OPHDST\NCHS\DHNES\AB,National Center for Health Statistics,Division of Health and Nutrition Examination Surveys,Analysis Branch,8,8,,,,
CDC\OD\OPHDST\NCHS\DHNES\IB,National Center for Health Statistics,Division of Health and Nutrition Examination Surveys,Informatics Branch,11,11,,,,
CDC\OD\OPHDST\NCHS\DHNES\OB,National Center for Health Statistics,Division of Health and Nutrition Examination Surveys,Operations Branch,6,6,,,,
CDC\OD\OPHDST\NCHS\DHNES\OD,National Center for Health Statistics,Division of Health and Nutrition Examination Surveys,Office of the Director,12,12,,,,
CDC\OD\OPHDST\NCHS\DHNES\PB,National Center for Health Statistics,Division of Health and Nutrition Examination Surveys,Planning Branch,12,,,12,,
CDC\OD\OPHDST\NCHS\DRM\CCQDER,National Center for Health Statistics,Division of Research and Methodology,Collaborating Center For Questionnaire Design And Evaluation Research,12,,,12,,
CDC\OD\OPHDST\NCHS\DRM\CCSRSD,National Center for Health Statistics,Division of Research and Methodology,Collaborating Center For Statistical Research And Survey Design,13,,,13,,
CDC\OD\OPHDST\NCHS\DRM\OD,National Center for Health Statistics,Division of Research and Methodology,Office of the Director,8,8,,,,
CDC\OD\OPHDST\NCHS\DRM\RDC,National Center for Health Statistics,Division of Research and Methodology,Research Data Center,14,14,,,,
CDC\OD\OPHDST\NCHS\DVS,National Center for Health Statistics,Division of Vital Statistics,Office of the Director,1,,,1,,
CDC\OD\OPHDST\NCHS\DVS\DAEB,National Center for Health Statistics,Division of Vital Statistics,Data Analysis And Epidemiology Branch,33,33,,,,
CDC\OD\OPHDST\NCHS\DVS\ITB,National Center for Health Statistics,Division of Vital Statistics,Information Technology Branch,13,13,,,,
CDC\OD\OPHDST\NCHS\DVS\OD,National Center for Health Statistics,Division of Vital Statistics,Office of the Director,6,,,6,,
CDC\OD\OPHDST\NCHS\DVS\PEDDB,National Center for Health Statistics,Division of Vital Statistics,Partner Engagement And Data Dissemination Branch,11,,,11,,
CDC\OD\OPHDST\NCHS\DVS\SASB,National Center for Health Statistics,Division of Vital Statistics,Statistical Analysis And Surveillance Branch,25,25,,,,
CDC\OD\OPHDST\NCHS\OD,National Center for Health Statistics,Office of the Director,,6,6,,,,
CDC\OD\OPHDST\NCHS\OD\ODDMO\OD,National Center for Health Statistics,Office of the Director,Office of the Deputy Director for Management and Operations,1,1,,,,
CDC\OD\OPHDST\NCHS\OD\ODDMO\OD\OIGA,National Center for Health Statistics,Office of the Director,"Office of Informatics, Governance And Assurance",11,,,11,,
CDC\OD\OPHDST\NCHS\OD\ODDMO\OD\OIS\OD,National Center for Health Statistics,Office of the Director,Office Of Information Services,4,,,4,,
CDC\OD\OPHDST\NCHS\OD\ODDMO\OD\OMO,National Center for Health Statistics,Office of the Director,Office of Management and Operations,9,,,9,,
CDC\OD\OPHDST\NCHS\OD\ODDMO\OD\OMO\OLS,National Center for Health Statistics,Office of the Director,Office Of Laboratory Science,13,13,,,,
CDC\OD\OPHDST\NCHS\OD\ODDMO\OD\OMO\WCDS,National Center for Health Statistics,Office of the Director,Workforce And Career Development Staff,10,10,,,,
CDC\OD\OPHDST\NCHS\OD\ODDMO\OD\OPBL,National Center for Health Statistics,Office of the Director,"Office of Policy, Budget and Legislation",23,,,23,,
CDC\OD\OPHDST\NCHS\OD\ODDP\OD,National Center for Health Statistics,Office of the Director,Office of the Deputy Director for Programs,9,9,,,,
CDC\OD\OPHDST\NCHS\OD\ODDP\OD\OS,National Center for Health Statistics,Office of the Director,Office of Science,9,9,,,,
CDC\OD\OPHDST\OD,"Office of Public Health Data, Surveillance, and Technology",Office of the Director,,5,5,,,,
CDC\OD\OPHDST\OD\CSEU,"Office of Public Health Data, Surveillance, and Technology",Office of the Director,,2,2,,,,
CDC\OD\OPHDST\OD\ODDMO,"Office of Public Health Data, Surveillance, and Technology",Office of the Director,Office of the Deputy Director for Management and Operations,8,8,,,,
CDC\OD\OPHDST\OD\ODDMO\OC,"Office of Public Health Data, Surveillance, and Technology",Office of the Director,Office of Communications,14,,,14,,
CDC\OD\OPHDST\OD\ODDMO\OMO,"Office of Public Health Data, Surveillance, and Technology",Office of the Director,Office of Management and Operations,33,33,,,,
CDC\OD\OPHDST\OD\ODDTP,"Office of Public Health Data, Surveillance, and Technology",Office of the Director,Deputy Director For Technology And Products,13,,,13,,
CDC\OD\OPHDST\OD\ODDTP\TIO,"Office of Public Health Data, Surveillance, and Technology",Office of the Director,Technology Implementation Office,11,11,,,,
CDC\OD\OPHDST\OD\ODDTP\TTO,"Office of Public Health Data, Surveillance, and Technology",Office of the Director,Technology Transfer Office,6,,,6,,
CDC\OD\OPHDST\OD\PLAPU,"Office of Public Health Data, Surveillance, and Technology",Office of the Director,Policy Legislative Affairs And Partnerships Unit,8,8,,,,
CDC\OD\OPHDST\PD\OD,"Office of Public Health Data, Surveillance, and Technology",Platforms Division,Office of the Director,17,17,,,,
CDC\OD\OPHDST\PD\SDPB,"Office of Public Health Data, Surveillance, and Technology",Platforms Division,Shared Data Platform Branch,11,,,11,,
CDC\OD\OPHDST\PD\STPB,"Office of Public Health Data, Surveillance, and Technology",Platforms Division,Shared Data Platform Branch,10,,,10,,
CDC\OD\OPPE\OD,"Office of Policy, Performance, and Evaluation",Office of the Director,,16,16,,,,
CDC\OD\OPPE\PAEO,"Office of Policy, Performance, and Evaluation",Policy Analysis and Engagement Office,,29,29,,,,
CDC\OD\OPPE\PEO,"Office of Policy, Performance, and Evaluation",Performance and Evaluation Office,,21,21,,,,
CDC\OD\ORR\CFA,Office of Readiness and Response,Center for Forecasting and Outbreak Analytics,Office of the Director,1,1,,,,
CDC\OD\ORR\CFA\ID\OD,Office of Readiness and Response,Center for Forecasting and Outbreak Analytics,INFORM Division,17,,,17,,
CDC\OD\ORR\CFA\OD,Office of Readiness and Response,Center for Forecasting and Outbreak Analytics,Office of the Director,7,7,,,,
CDC\OD\ORR\CFA\OD\OMS,Office of Readiness and Response,Center for Forecasting and Outbreak Analytics,Office of Management Services,6,6,,,,
CDC\OD\ORR\CFA\OD\OPC,Office of Readiness and Response,Center for Forecasting and Outbreak Analytics,Office of Policy and Communications,4,4,,,,
CDC\OD\ORR\CFA\PD\ARB,Office of Readiness and Response,Center for Forecasting and Outbreak Analytics,Analytics Response Branch,18,18,,,,
CDC\OD\ORR\CFA\PD\OD,Office of Readiness and Response,Center for Forecasting and Outbreak Analytics,PREDICT Division,2,2,,,,
CDC\OD\ORR\CFA\PD\RTMB,Office of Readiness and Response,Center for Forecasting and Outbreak Analytics,Real Time Monitoring Branch,12,12,,,,
CDC\OD\ORR\CFA\TID,Office of Readiness and Response,Center for Forecasting and Outbreak Analytics,Technology and Innovation Division,1,1,,,,
CDC\OD\ORR\CFA\TID\IB,Office of Readiness and Response,Center for Forecasting and Outbreak Analytics,Innovate Branch,5,,,5,,
CDC\OD\ORR\CFA\TID\TB,Office of Readiness and Response,Center for Forecasting and Outbreak Analytics,Technology Branch,5,,,5,,
CDC\OD\ORR\DEO,Office of Readiness and Response,Division of Emergency Operations,Office of the Director,1,1,,,,
CDC\OD\ORR\DEO\EMTCDB,Office of Readiness and Response,Division of Emergency Operations,Emergency Management Training And Capacity Development Branch,10,10,,,,
CDC\OD\ORR\DEO\OB,Office of Readiness and Response,Division of Emergency Operations,Operations Branch,17,17,,,,
CDC\OD\ORR\DEO\OD,Office of Readiness and Response,Division of Emergency Operations,Office of the Director,27,27,,,,
CDC\OD\ORR\DEO\PXEB,Office of Readiness and Response,Division of Emergency Operations,Plans Exercise And Evaluation Branch,13,13,,,,
CDC\OD\ORR\DEO\RSB,Office of Readiness and Response,Division of Emergency Operations,Resource Support Branch,26,26,,,,
CDC\OD\ORR\DRRS,Office of Readiness and Response,Division of Readiness and Response Science,Office of the Director,1,1,,,,
CDC\OD\ORR\DRRS\CBSHEB,Office of Readiness and Response,Division of Readiness and Response Science,Community Based Solutions And Health Equity Branch,13,13,,,,
CDC\OD\ORR\DRRS\OD,Office of Readiness and Response,Division of Readiness and Response Science,Office of the Director,16,16,,,,
CDC\OD\ORR\DRRS\PHRREB,Office of Readiness and Response,Division of Readiness and Response Science,Public Health Readiness And Response Evaluation Branch,8,8,,,,
CDC\OD\ORR\DRRS\RADSSB,Office of Readiness and Response,Division of Readiness and Response Science,Response Analytics Decision Support And Surveillance Branch,21,21,,,,
CDC\OD\ORR\DRSC\BSTEB,Office of Readiness and Response,Division of Regulatory Science and Compliance,Biosafety Science Training And Expertise Branch,10,10,,,,
CDC\OD\ORR\DRSC\FSAPOB,Office of Readiness and Response,Division of Regulatory Science and Compliance,Federal Select Agent Program Operations Branch,36,36,,,,
CDC\OD\ORR\DRSC\IITB,Office of Readiness and Response,Division of Regulatory Science and Compliance,Innovation And Information Technology Branch,12,12,,,,
CDC\OD\ORR\DRSC\IPPOB,Office of Readiness and Response,Division of Regulatory Science and Compliance,Import Permit Program Operations Branch,9,9,,,,
CDC\OD\ORR\DRSC\OD,Office of Readiness and Response,Division of Regulatory Science and Compliance,Office of the Director,20,20,,,,
CDC\OD\ORR\DSLR,Office of Readiness and Response,Division of State and Local Readiness,Office of the Director,1,1,,,,
CDC\OD\ORR\DSLR\CPTADB,Office of Readiness and Response,Division of State and Local Readiness,Capacity Building And Technical Assistance Development Branch,21,21,,,,
CDC\OD\ORR\DSLR\FAB,Office of Readiness and Response,Division of State and Local Readiness,Field Assignments Branch,65,65,,,,
CDC\OD\ORR\DSLR\GMFSB,Office of Readiness and Response,Division of State and Local Readiness,Grants Management And Fiscal Strategy Branch,20,20,,,,
CDC\OD\ORR\DSLR\JRRSB,Office of Readiness and Response,Division of State and Local Readiness,Jurisdictional Readiness And Response Support Branch,14,14,,,,
CDC\OD\ORR\DSLR\OD,Office of Readiness and Response,Division of State and Local Readiness,Office of the Director,29,29,,,,
CDC\OD\ORR\OD,Office of Readiness and Response,Office of the Director,,24,24,,,,
CDC\OD\ORR\OD\IRO,Office of Readiness and Response,Office of the Director,Information Resources Office,11,11,,,,
CDC\OD\ORR\OD\MRO,Office of Readiness and Response,Office of the Director,Management Resources Office,17,17,,,,
CDC\OD\ORR\OD\OPPC,Office of Readiness and Response,Office of the Director,"Office of Policy, Planning, and Coordination",19,19,,,,
CDC\OD\ORR\OD\OSLR,Office of Readiness and Response,Office of the Director,Office Of Science And Laboratory Readiness,15,15,,,,
CDC\OD\OS\OD,Office of Science,Office of the Director,,37,,,37,,
CDC\OD\OS\OPHER,Office of Science,Office of Public Health Ethics and Regulations,,20,,,20,,
CDC\OD\OS\OSD,Office of Science,Office of Science Dissemination,,16,,,16,,
CDC\OD\OS\OSER,Office of Science,Office of Scientific Evidence and Recommendations,,14,,,14,,
CDC\OD\OS\OSQLS,Office of Science,Office of Science Quality and Library Services,,24,,,24,,
CDC\PHIC\DJS\CBSRMB,Public Health Infrastructure Center,Division of Jurisdictional Support,Capacity Building and Strategic Resource Management Branch,18,18,,,,
CDC\PHIC\DJS\OD,Public Health Infrastructure Center,Division of Jurisdictional Support,Office of the Director,21,21,,,,
CDC\PHIC\DJS\PHICBIB,Public Health Infrastructure Center,Division of Jurisdictional Support,PHI Capacity Building and Implementation Branch,22,22,,,,
CDC\PHIC\DJS\PSIB,Public Health Infrastructure Center,Division of Jurisdictional Support,Program Services And Innovation Branch,21,21,,,,
CDC\PHIC\DPS\OD,Public Health Infrastructure Center,Division of Partnership Support,Office of the Director,48,,,48,,
CDC\PHIC\DPS\PPIB,Public Health Infrastructure Center,Division of Partnership Support,Partnerships And Performance Improvement Branch,9,,,9,,
CDC\PHIC\DPS\PRMB,Public Health Infrastructure Center,Division of Partnership Support,Partnership Resources Management Branch,25,25,,,,
CDC\PHIC\DWD\ELWB,Public Health Infrastructure Center,Division of Workforce Development,Epidemiology And Laboratory Workforce Branch,133,,,133,,
CDC\PHIC\DWD\ETSB,Public Health Infrastructure Center,Division of Workforce Development,Education And Training Services Branch,30,30,,,,
CDC\PHIC\DWD\FSWB,Public Health Infrastructure Center,Division of Workforce Development,Field Services Workforce Branch,132,132,,,,
CDC\PHIC\DWD\OD,Public Health Infrastructure Center,Division of Workforce Development,Office of the Director,36,36,,,,
CDC\PHIC\DWD\PHWB,Public Health Infrastructure Center,Division of Workforce Development,Public Health Workforce Branch,36,,,36,,
CDC\PHIC\OD,Public Health Infrastructure Center,Office of the Director,,87,,,87,,
CDC\PHIC\OD\ORH,Public Health Infrastructure Center,Office of the Director,Office Of Rural Health,8,8,,,,
CDC\PHIC\OD\OTASA,Public Health Infrastructure Center,Office of the Director,Office Of Tribal Affairs And Strategic Alliances,6,6,,,,
N/A,,,,65,65,,,,
Grand Total,,,,12910,8622,329,3188,730,41
