unique_id,fiscal_year,agency,sub_agency,program,sub_program,sub_program_2,sub_program_3,budget_source,budget_stage,granularity,amount_millions,funding_type,program_status,is_non_add,notes,source_id,source_page
CDC-000091,2024,HHS,CDC,"Birth Defects, Developmental Disabilities, Disability and Health",Health and Development for People with Disabilities,Tourette Syndrome,,Congressional Justification,Request,sub_program_2_level,2.5,Discretionary,Active,Subcomponent,,S002,175
CDC-000092,2024,HHS,CDC,"Birth Defects, Developmental Disabilities, Disability and Health",Public Health Approach to Blood Disorders,Sickle Cell Research,,Congressional Justification,Request,sub_program_2_level,6,Discretionary,Active,Non-add,,S002,175
CDC-000093,2024,HHS,CDC,Public Health Scientific Services,,,,Congressional Justification,Request,program_level,651.222,Discretionary,Active,No,,S002,199
CDC-000094,2024,HHS,CDC,Public Health Scientific Services,,,,Congressional Justification,Request,program_level,140,PPHF,Active,No,,S002,199
CDC-000095,2024,HHS,CDC,Public Health Scientific Services,,,,Congressional Justification,Request,program_level,170.342,PHS Evaluation,Active,No,,S002,199
CDC-000096,2024,HHS,CDC,Public Health Scientific Services,,,,Congressional Justification,Request,program_level,961.564,Total,Active,No,,S002,199
CDC-000097,2024,HHS,CDC,Public Health Scientific Services,Advancing Laboratory Science,,,Congressional Justification,Request,sub_program_level,28,Discretionary,Active,No,,S002,199
CDC-000098,2024,HHS,CDC,Public Health Scientific Services,Health Statistics,,,Congressional Justification,Request,sub_program_level,189.464,Total,Active,No,Total for Health Statistics. BA ($19.122M) + PHS Evaluation Transfer ($170.342M) = $189.464M.,S002,199
CDC-000099,2024,HHS,CDC,Public Health Scientific Services,Public Health Data Modernization,,,Congressional Justification,Request,sub_program_level,340,Total,Active,No,Total for Public Health Data Modernization. BA ($200.000M) + PPHF ($140.000M) = $340.000M.,S002,199
CDC-000100,2024,HHS,CDC,Public Health Scientific Services,Public Health Workforce,,,Congressional Justification,Request,sub_program_level,106,Discretionary,Active,No,,S002,199
CDC-000101,2024,HHS,CDC,Public Health Scientific Services,"Surveillance, Epidemiology, and Informatics",,,Congressional Justification,Request,sub_program_level,298.1,Discretionary,Active,No,,S002,199
CDC-000102,2024,HHS,CDC,Public Health Scientific Services,Health Statistics,Health Statistics - BA,,Congressional Justification,Request,sub_program_2_level,19.122,Discretionary,Active,Subcomponent,,S002,199
CDC-000103,2024,HHS,CDC,Public Health Scientific Services,Health Statistics,Health Statistics - PHS Evaluation Transfer,,Congressional Justification,Request,sub_program_2_level,170.342,PHS Evaluation,Active,Subcomponent,,S002,199
CDC-000104,2024,HHS,CDC,Public Health Scientific Services,Public Health Data Modernization,Public Health Data Modernization (BA),,Congressional Justification,Request,sub_program_2_level,200,Discretionary,Active,Subcomponent,,S002,199
CDC-000105,2024,HHS,CDC,Public Health Scientific Services,Public Health Data Modernization,Public Health Data Modernization (PPHF),,Congressional Justification,Request,sub_program_2_level,140,PPHF,Active,Subcomponent,,S002,199
CDC-000106,2024,HHS,CDC,Environmental Health,,,,Congressional Justification,Request,program_level,396.85,Discretionary,Active,No,,S002,225
CDC-000107,2024,HHS,CDC,Environmental Health,,,,Congressional Justification,Request,program_level,17,PPHF,Active,No,,S002,225
CDC-000108,2024,HHS,CDC,Environmental Health,,,,Congressional Justification,Request,program_level,7,PHS Evaluation,Active,No,,S002,225
CDC-000109,2024,HHS,CDC,Environmental Health,,,,Congressional Justification,Request,program_level,420.85,Total,Active,No,,S002,225
CDC-000110,2024,HHS,CDC,Environmental Health,Asthma,,,Congressional Justification,Request,sub_program_level,33.5,Discretionary,Active,No,,S002,225
CDC-000111,2024,HHS,CDC,Environmental Health,Childhood Lead Poisoning Prevention,,,Congressional Justification,Request,sub_program_level,90,Total,Active,No,Total for Childhood Lead Poisoning Prevention. BA ($66.000M) + PPHF ($17.000M) + PHS Evaluation ($7.000M) = $90.000M.,S002,225
CDC-000112,2024,HHS,CDC,Environmental Health,Environmental Health Activities,,,Congressional Justification,Request,sub_program_level,187.6,Discretionary,Active,No,,S002,225
CDC-000113,2024,HHS,CDC,Environmental Health,Environmental Health Laboratory,,,Congressional Justification,Request,sub_program_level,70.75,Total,Active,No,,S002,225
CDC-000114,2024,HHS,CDC,Environmental Health,Environmental and Health Outcome Tracking Network,,,Congressional Justification,Request,sub_program_level,34,Discretionary,Active,No,,S002,225
CDC-000115,2024,HHS,CDC,Environmental Health,Lead Exposure Registry,,,Congressional Justification,Request,sub_program_level,5,Discretionary,Active,No,,S002,225
